"","ID","fundBakers","fundUSDRate","fundUSDPledged","creator","city","state","isStaffpick","categoryParent","categoryChild","fundUSDGoal","fundLength","descriptionLength","hasVideo","amountFAQ","amountUpdates","amountComments","amountImages","amountGifs","amountVideos","amountRewards","lowestReward","url","name","blurb","fundState","fundGoal","fundPledged","country","fundCurrency","fundCurrencySymbol","fundEnd","fundStart"
"1",151549,176,0.72042736,5715.15024688,"Montenzi Design, NZ","Auckland","Auckland Region",FALSE,"games","playing cards",2881.70944,16,1239,FALSE,0,13,60,38,0,0,10,10,"https://www.kickstarter.com/projects/montenzi/hello-tiki-playing-cards-from-new-zealand?ref=category","HELLO TIKI: Playing Cards","Two custom decks of playing cards designed in New Zealand.",TRUE,4000,7933,"NZ","NZD","$",2017-03-02,2017-02-14
"4",1694298,14,1,653,"RED PILL PUBLISHING","Las Vegas","NV",FALSE,"games","playing cards",99,7,349,FALSE,0,8,0,15,0,0,4,25,"https://www.kickstarter.com/projects/667419690/full-metal-femmes-vampire-scarlett-poker-playing-c?ref=category","Vampire Scarlett Playing Cards Deck-NSFW","This edition features the Scarlett in new FMF: Vampire vol One. Limited to 150 decks worldwide.",TRUE,99,653,"US","USD","$",2018-06-12,2018-06-05
"5",4621462,221,1,3822,"Colton Marshall","Kirkland","WA",FALSE,"games","playing cards",15000,29,159,TRUE,0,4,15,3,0,0,7,10,"https://www.kickstarter.com/projects/1123939555/bicycle-arcana-playing-cards?ref=category","Bicycle® Arcana Playing Cards","By applying modern design methods to a whimsical theme, the Bicycle Arcana deck was created to feel like an authentic magical artifact.",FALSE,15000,3822,"US","USD","$",2014-09-22,2014-08-24
"7",12846685,31,1,3031,"Earl Johnson III","Los Angeles","CA",FALSE,"games","playing cards",3000,32,587,TRUE,1,7,11,6,0,0,7,1,"https://www.kickstarter.com/projects/1962787707/swipe-it-take-whats-yours?ref=category","Swipe it! Take what's yours...","Swipe it! The playing card game that lets you ""Take what's yours...""",TRUE,3000,3031,"US","USD","$",2014-11-16,2014-10-15
"8",14032328,208,1,5017,"Natalia Silva","Los Angeles","CA",FALSE,"games","playing cards",2000,31,434,FALSE,0,13,42,17,0,0,10,1,"https://www.kickstarter.com/projects/393497409/love-u-playing-cards?ref=category","""Love U"" Playing Cards","""Love U"" is the perfect gift, a super sweet and fun deck of playing cards all inspired by love.",TRUE,2000,5017,"US","USD","$",2016-01-23,2015-12-23
"9",18070558,24,1,1097,"Michele Hartsoe","Las Vegas","NV",FALSE,"games","playing cards",99,8,313,FALSE,0,15,0,2,0,0,6,25,"https://www.kickstarter.com/projects/796990185/limited-wonderland-lost-poker-deck-vol-2?ref=category","Limited WONDERLAND LOST poker deck vol. 2","This edition features new DIGITAL pin-up art to create a stunning and unique Playing Card Deck.",TRUE,99,1097,"US","USD","$",2018-03-13,2018-03-05
"10",19807548,67,0.79519132,5032.76586428,"Buyworthy","Canberra","ACT",FALSE,"games","playing cards",4771.14792,30,1188,TRUE,5,16,21,18,0,1,14,13,"https://www.kickstarter.com/projects/buyworthy/modern-warships-playing-cards-military-series-deck?ref=category","Modern Warships Playing Cards 1st Edition Military Series","A snapshot of modern naval history, featuring the worlds top-24 most powerful fleets. USA, China, Russia, Japan and more. Made in USA",TRUE,6000,6329,"AU","AUD","$",2017-09-03,2017-08-04
"11",22701680,171,1,6711,"Justin Froyd","Phoenix","AZ",FALSE,"games","playing cards",15000,30,847,TRUE,0,8,22,20,0,1,11,13,"https://www.kickstarter.com/projects/86221149/wild-west-playing-card-project-lawmen-and-outlaw?ref=category","Wild West Playing Card Project: Lawmen & Outlaw","Wild West Playing Card Project. Each court card depicts a Wild West historic character such as Billy the Kid, Wyatt Earp and more.",FALSE,15000,6711,"US","USD","$",2017-07-17,2017-06-17
"12",23915756,559,1,17521,"Collectable Playing Cards","Huntley","IL",FALSE,"games","playing cards",12000,30,1159,FALSE,0,14,121,30,2,0,10,10,"https://www.kickstarter.com/projects/2104052526/bicycle-wood-rider-back-playing-cards-by-max?ref=category","Bicycle WOOD RIDER BACK Playing Cards by Max","The SECOND deck in the TEXTURE SERIES by MAX (Max Playing Cards)",TRUE,12000,17521,"US","USD","$",2016-10-01,2016-09-01
"14",29065357,59,0.77585538,1678.17518694,"Buyworthy","Canberra","ACT",FALSE,"games","playing cards",3103.42152,30,1045,TRUE,0,4,4,17,1,0,8,13,"https://www.kickstarter.com/projects/buyworthy/modern-aircraft-playing-cards-military-series-2nd?ref=category","Modern Aircraft Playing Cards","Featuring 40 countries, a historical snapshot of modern airpower in 2018. Made in The United States.",FALSE,4000,2163,"AU","AUD","$",2018-04-03,2018-03-04
